name,category,price_incl_vat_zar,in_stock,qty_on_hand,sku
7N BLONDE HERBATINT,Body Care,233.16,yes,2,801674450007
8C ASH BLONDE HERBATINT,Body Care,233.16,yes,4,801674450028
8C LIGHT ASH BLONDE,Body Care,233.16,yes,2,8016744800044
8N LIGHT BLONDE HERBATINT,Body Care,233.16,yes,2,801674450008
8R LIGHT COPPER BLONDE,Body Care,233.16,yes,2,801674450022
9DR COPPERISH GOLD,Body Care,198.62,yes,2,8016744800068
9N VERY LIGHT BLONDE HERBATINT,Body Care,233.16,yes,2,801674450009
ACHES & PAINS SEA SOAP,Body Care,89.99,yes,2,6009833490099
ACNE REMEDY 10ml,Body Care,120.00,yes,1,600000015479
ACT SILVER WONDERSIL HUMAM 50G,Body Care,93.45,yes,4,6009900175317
ACT SILVER WONDERSIL PET 50G,Body Care,85.69,yes,1,700112519246
ADDLICATOR TAMPONS SUPER 16s,Body Care,199.24,yes,4,782126009005
